,lag,train_size,tesr_size,mse
0,1,60,5,1.2847361349487984e-21
1,1,60,20,3.4151059190201634e-21
2,1,60,60,9.783386786013986e-22
3,1,60,120,1.3478182000791677e-20
4,1,120,5,1.1163111015885403e-21
5,1,120,20,1.3977509995327298e-21
6,1,120,60,2.3338926049262844e-21
7,1,120,120,7.233585544662241e-21
8,1,250,5,7.328130910042697e-22
9,1,250,20,8.3004664019392895e-22
10,1,250,60,7.504504198430393e-22
11,1,250,120,5.079561045323289e-22
12,1,500,5,2.919508300883453e-21
13,1,500,20,2.9405827643789122e-21
14,1,500,60,3.049453026965021e-21
15,1,500,120,2.2635073679477618e-21
16,3,60,5,95573.6427709438
17,3,60,20,142799.33965001107
18,3,60,60,421972.9774218418
19,3,60,120,918161.7487055622
20,3,120,5,63941.407328298345
21,3,120,20,71189.15363419004
22,3,120,60,91139.78376462
23,3,120,120,189581.56624678482
24,3,250,5,52818.48257002171
25,3,250,20,56989.452805592504
26,3,250,60,57681.0793651144
27,3,250,120,53042.24978237935
28,3,500,5,29572.403963920842
29,3,500,20,28290.302751684503
30,3,500,60,30894.101990374736
31,3,500,120,34234.4584595258
32,5,60,5,226929.4691733752
33,5,60,20,310998.40782874444
34,5,60,60,601658.7334202483
35,5,60,120,1119928.8431069874
36,5,120,5,129956.74976742384
37,5,120,20,165758.144309546
38,5,120,60,214472.0907183287
39,5,120,120,479474.2178668622
40,5,250,5,103321.30987468484
41,5,250,20,111144.87445848079
42,5,250,60,117343.63845044997
43,5,250,120,100882.8085712089
44,5,500,5,60848.05782374078
45,5,500,20,71257.567601095
46,5,500,60,87848.81697662547
47,5,500,120,108377.15315762286
48,10,60,5,262930.41189246805
49,10,60,20,631515.3298808006
50,10,60,60,1125387.6393717444
51,10,60,120,1661319.036140247
52,10,120,5,228306.93487964364
53,10,120,20,398078.2387912693
54,10,120,60,553759.8528501884
55,10,120,120,1243484.6552556562
56,10,250,5,216788.57167852687
57,10,250,20,270874.84874552797
58,10,250,60,384966.0681518221
59,10,250,120,342953.5662633776
60,10,500,5,132419.60806273864
61,10,500,20,165527.46427542027
62,10,500,60,270417.339521025
63,10,500,120,307458.649331567
